,Datetime,Open,High,Low,Close,Volume
434,2024-07-24 10:30:00,217.06,218.59,215.6,217.46,13123053
435,2024-07-24 10:00:00,215.89,219.09,214.71,217.064,19559840
436,2024-07-24 09:30:00,225.42,225.99,215.3,215.89,35718299
437,2024-07-24 09:00:00,225.68,227.38,225.1,225.22,1248131
438,2024-07-24 08:30:00,225.08,255.75,224.07,225.63,1043882
439,2024-07-24 08:00:00,246.38,248.7,224.403,225.1,1634321
440,2024-07-24 07:30:00,225.31,227.02,224.85,225.87,372205
441,2024-07-24 07:00:00,226.62,227.0,224.41,225.32,691353
442,2024-07-24 06:30:00,227.63,227.69,226.3,226.57,125028
443,2024-07-24 06:00:00,227.08,227.8,226.36,227.69,173615
444,2024-07-24 05:30:00,227.99,228.52,226.91,227.09,221044
445,2024-07-24 05:00:00,229.52,230.31,227.64,227.99,332114
446,2024-07-24 04:30:00,227.58,229.6,227.51,229.52,275393
447,2024-07-24 04:00:00,226.1,228.98,225.3,227.64,489671
448,2024-07-23 19:30:00,227.11,227.5,226.4,227.25,764550
449,2024-07-23 19:00:00,225.95,227.4,225.0,227.175,1237891
450,2024-07-23 18:30:00,229.4,230.2,225.32,225.95,1721246
451,2024-07-23 18:00:00,230.03,231.31,228.84,229.43,1433953
452,2024-07-23 17:30:00,236.47,246.38,227.96,230.18,3822332
453,2024-07-23 17:00:00,238.27,238.45,234.5,236.44,2232094
454,2024-07-23 16:30:00,241.36,254.155,171.782,238.153,2671468
455,2024-07-23 16:00:00,246.38,246.61,175.0,241.311,11189450
456,2024-07-23 15:30:00,249.345,249.414,246.32,246.35,8383689
457,2024-07-23 15:00:00,248.104,249.45,247.78,249.37,4618162
458,2024-07-23 14:30:00,247.35,248.7,247.08,248.08,3287398
459,2024-07-23 14:00:00,247.69,248.49,247.05,247.27,3750218
460,2024-07-23 13:30:00,247.4,247.89,246.93,247.692,3321006
461,2024-07-23 13:00:00,246.65,247.93,246.26,247.423,4562831
462,2024-07-23 12:30:00,247.01,247.84,246.02,246.7,4515514
463,2024-07-23 12:00:00,248.935,249.3,246.5,247.015,5253058
